name,desc,price,category,img,cal,slug,protein,carbs,fats,type,package_credits,calories,in_stock,is_available
Basmati Üzeri Tavuk Fileto ve Brokoli (700kcal),"Tavuk Fileto (200gr), Basmati (75gr), Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul (700kcal, 50gr protein, 65gr karbonhidrat, 14gr yağ)",425.00,YÜKSEK PROTEİN SPORCU,,700,basmati-uzeri-tavuk-fileto-ve-brokoli-700kcal,50.00,65.00,14.00,meal,0,700,true,true
Basmati Üzeri Tavuk Sote ve Brokoli Sebze (750kcal),"Tavuk Sote (200gr), Basmati (75gr), Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul (750kcal, 50gr protein, 65gr karbonhidrat, 16gr yağ)",425.00,YÜKSEK PROTEİN SPORCU,,750,basmati-uzeri-tavuk-sote-ve-brokoli-sebze-750kcal,50.00,65.00,16.00,meal,0,750,true,true
Basmati Üzeri Izgara Köfte ve Brokoli Sebze (750kcal),"Izgara Köfte (200gr), Basmati (75gr), Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul (750kcal, 45gr protein, 65gr karbonhidrat, 19gr yağ)",495.00,YÜKSEK PROTEİN SPORCU,,750,basmati-uzeri-izgara-kofte-ve-brokoli-sebze-750kcal,45.00,65.00,19.00,meal,0,750,true,true
Tavuk Fileto Basmati ve Brokoli Sebze (600kcal),"Tavuk Fileto (150gr), Basmati (55gr), Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul (600kcal, 35gr protein, 50gr karbonhidrat, 11gr yağ)",395.00,DENGELİ BESLENME,,600,tavuk-fileto-basmati-ve-brokoli-sebze-600kcal,35.00,50.00,11.00,meal,0,600,true,true
Tavuk Sote Basmati ve Brokoli Sebze (620kcal),"Tavuk Sote (150gr), Basmati (55gr), Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul (620kcal, 35gr protein, 50gr karbonhidrat, 15gr yağ)",395.00,DENGELİ BESLENME,,620,tavuk-sote-basmati-ve-brokoli-sebze-620kcal,35.00,50.00,15.00,meal,0,620,true,true
Izgara Köfte Basmati ve Brokoli Sebze (620kcal),"Izgara Köfte (140gr), Basmati (55gr), Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul (650kcal, 30gr protein, 50gr karbonhidrat, 17gr yağ)",425.00,DENGELİ BESLENME,,620,izgara-kofte-basmati-ve-brokoli-sebze-620kcal,30.00,50.00,17.00,meal,0,620,true,true
Brokoli Sebze Üzeri Tavuk Fileto Bowl (500kcal),"Tavuk Fileto (200gr), Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul, Havuç, Mısır, Garnitür (500kcal, 50gr protein, 25gr karbonhidrat, 10gr yağ)",440.00,YÜKSEK PROTEİN YAĞ YAKIMI,,500,brokoli-sebze-uzeri-tavuk-fileto-bowl-500kcal,50.00,25.00,10.00,meal,0,500,true,true
Brokoli Sebze Üzeri Tavuk Sote Bowl (520kcal),"Tavuk Sote (200gr), Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul, Havuç, Mısır, Garnitür (500kcal, 50gr protein, 30gr karbonhidrat, 13gr yağ)",440.00,YÜKSEK PROTEİN YAĞ YAKIMI,,520,brokoli-sebze-uzeri-tavuk-sote-bowl-520kcal,50.00,30.00,13.00,meal,0,520,true,true
Brokoli Sebze Üzeri Izgara Köfte Bowl (520kcal),"Izgara Köfte (200gr), Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul, Havuç, Mısır, Garnitür (500kcal, 50gr protein, 30gr karbonhidrat, 13gr yağ)",510.00,YÜKSEK PROTEİN YAĞ YAKIMI,,520,brokoli-sebze-uzeri-izgara-kofte-bowl-520kcal,50.00,30.00,13.00,meal,0,520,true,true
Brokoli Sebze Salata Bowl (400kcal),"Brokoli, Çeri Domates, Tatlı Patates, Lolorosso/Marul, Havuç, Mısır, Garnitür (400kcal, 30gr protein, 35gr karbonhidrat, 9gr yağ)",395.00,VEJETARYEN,,400,brokoli-sebze-salata-bowl-400kcal,30.00,35.00,9.00,meal,0,400,true,true
